                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                0.88712,                0.47664,                0.94218,                 0.8751,                0.67944,                0.74331,                0.48177,                 1.0075,                0.52146,                 1.0277,             0.00078955,             0.00078955,             0.00078955
                    116,                0.88538,                0.46856,                0.94957,                0.85949,                0.68526,                0.73887,                 0.4699,                 1.0067,                0.53673,                 1.0355,             0.00078389,             0.00078389,             0.00078389
                    117,                0.87723,                0.46434,                0.93225,                 0.8683,                0.65279,                0.74323,                0.48062,                0.99481,                0.51929,                 1.0231,             0.00077823,             0.00077823,             0.00077823
                    118,                0.88987,                0.47642,                0.94237,                0.87575,                0.67736,                0.74606,                0.47737,                 1.0067,                0.52741,                 1.0308,             0.00077257,             0.00077257,             0.00077257
                    119,                0.87085,                0.46339,                0.93677,                 0.8921,                0.68368,                0.77297,                0.48714,                 1.0233,                0.51674,                 1.0476,             0.00076692,             0.00076692,             0.00076692
                    120,                0.91608,                0.48484,                 0.9424,                0.91049,                0.66277,                0.74538,                 0.4753,                 1.0036,                0.53368,                  1.033,             0.00076126,             0.00076126,             0.00076126
                    121,                0.88041,                0.45874,                0.94046,                0.79466,                0.69765,                0.73779,                 0.4732,                 1.0028,                 0.5261,                 1.0402,              0.0007556,              0.0007556,              0.0007556
                    122,                0.87879,                0.47082,                0.94437,                0.82282,                0.70493,                0.75506,                0.48878,                 1.0251,                0.52395,                 1.0591,             0.00074994,             0.00074994,             0.00074994
                    123,                 0.8724,                 0.4617,                0.93155,                0.87187,                0.69152,                0.77781,                0.49593,                 1.0277,                0.51401,                 1.0612,             0.00074428,             0.00074428,             0.00074428
                    124,                0.85529,                0.44456,                0.92668,                0.90777,                0.65329,                 0.7636,                0.48156,                 1.0094,                0.52081,                 1.0408,             0.00073862,             0.00073862,             0.00073862
                    125,                0.85264,                 0.4425,                0.93661,                 0.9064,                0.65796,                0.75351,                0.47953,                 1.0233,                0.52631,                 1.0462,             0.00073296,             0.00073296,             0.00073296
                    126,                0.86105,                0.45121,                0.93332,                0.88231,                0.66843,                0.75253,                0.47513,                  1.032,                0.52084,                 1.0516,              0.0007273,              0.0007273,              0.0007273
                    127,                 0.8505,                0.44586,                  0.932,                0.82467,                0.68168,                0.74001,                0.46962,                 1.0639,                0.53596,                 1.0649,             0.00072164,             0.00072164,             0.00072164
                    128,                 0.8664,                0.45342,                0.93866,                0.79193,                0.68877,                 0.7397,                0.47718,                 1.0533,                 0.5444,                 1.0773,             0.00071599,             0.00071599,             0.00071599
                    129,                0.82619,                0.44323,                0.93229,                0.87156,                0.65649,                0.75004,                0.47739,                 1.0224,                0.52328,                 1.0445,             0.00071033,             0.00071033,             0.00071033
                    130,                0.84495,                0.44468,                0.92666,                0.84348,                0.69359,                0.75199,                0.48241,                 1.0064,                0.51389,                 1.0348,             0.00070467,             0.00070467,             0.00070467
                    131,                0.86079,                0.45031,                0.93171,                0.89409,                0.67152,                0.73474,                0.47052,                 1.0244,                0.52453,                 1.0473,             0.00069901,             0.00069901,             0.00069901
                    132,                0.85295,                0.44279,                0.94124,                0.79557,                0.72689,                0.77768,                0.49168,                 1.0385,                0.52734,                 1.0512,             0.00069335,             0.00069335,             0.00069335
                    133,                 0.8467,                0.43765,                 0.9288,                0.86944,                0.68944,                0.77296,                0.49311,                 1.0181,                0.51319,                 1.0416,             0.00068769,             0.00068769,             0.00068769
                    134,                0.84903,                0.44476,                0.93442,                0.87282,                0.71115,                0.78791,                0.50246,                 1.0176,                0.51258,                 1.0349,             0.00068203,             0.00068203,             0.00068203
                    135,                0.83217,                0.43592,                0.92281,                0.83689,                0.70184,                0.78714,                 0.5065,                 1.0205,                0.50515,                 1.0424,             0.00067637,             0.00067637,             0.00067637
                    136,                 0.8379,                0.44377,                0.92852,                0.86498,                0.65458,                0.75191,                0.48706,                  1.026,                0.52284,                 1.0557,             0.00067072,             0.00067072,             0.00067072
                    137,                 0.8302,                0.44084,                0.92344,                0.81618,                0.65958,                0.74545,                0.47893,                 1.0428,                0.52167,                 1.0607,             0.00066506,             0.00066506,             0.00066506
                    138,                0.83356,                0.43258,                0.92855,                0.76509,                0.70298,                0.74755,                 0.4791,                 1.0423,                0.53104,                 1.0533,              0.0006594,              0.0006594,              0.0006594
                    139,                0.85336,                0.44979,                0.92468,                0.76679,                0.67223,                0.74069,                0.47249,                 1.0484,                0.52753,                 1.0627,             0.00065374,             0.00065374,             0.00065374
                    140,                0.83261,                0.43917,                0.92842,                0.80935,                0.63035,                0.73962,                0.47234,                  1.028,                0.52582,                 1.0431,             0.00064808,             0.00064808,             0.00064808
                    141,                0.83746,                0.43615,                0.91959,                0.93935,                 0.6492,                0.76092,                0.49123,                 1.0339,                0.51301,                 1.0521,             0.00064242,             0.00064242,             0.00064242
                    142,                0.82008,                0.42967,                0.91607,                0.87163,                0.68352,                0.75963,                0.49138,                 1.0285,                0.51749,                 1.0587,             0.00063676,             0.00063676,             0.00063676
                    143,                0.82711,                0.43926,                0.92317,                0.85537,                0.67326,                0.76007,                0.49471,                 1.0332,                 0.5276,                  1.068,              0.0006311,              0.0006311,              0.0006311
                    144,                0.83243,                0.43511,                 0.9252,                0.79396,                0.73734,                0.78003,                0.50131,                 1.0265,                0.50308,                  1.057,             0.00062544,             0.00062544,             0.00062544
                    145,                0.83308,                0.43147,                0.91145,                0.90707,                0.67907,                 0.7906,                0.50223,                 1.0251,                0.50246,                 1.0542,             0.00061979,             0.00061979,             0.00061979
                    146,                0.85285,                  0.444,                0.92361,                0.84104,                 0.6918,                0.77439,                0.49139,                 1.0098,                0.51484,                  1.039,             0.00061413,             0.00061413,             0.00061413
                    147,                0.82442,                0.42332,                0.91377,                0.86137,                0.69885,                0.77687,                0.49757,                 1.0427,                0.50235,                 1.0576,             0.00060847,             0.00060847,             0.00060847
                    148,                0.82948,                0.44057,                0.91867,                0.87763,                0.68456,                0.78033,                  0.499,                 1.0429,                0.50524,                 1.0742,             0.00060281,             0.00060281,             0.00060281
                    149,                0.81066,                0.43101,                0.91616,                 0.8638,                0.68135,                 0.7784,                0.48699,                 1.0341,                0.51659,                 1.0671,             0.00059715,             0.00059715,             0.00059715
                    150,                0.82748,                0.43594,                0.92082,                0.87294,                0.68206,                0.78379,                0.50341,                 1.0254,                0.50886,                 1.0557,             0.00059149,             0.00059149,             0.00059149
